Price,Address1,Address2,Room,Shower,Car,Size
"$480,000 - $528,000","18/68-92 McKimmies Road,",LALOR VIC 3075,3 Beds,1 Bath,1 Parking,NG
$850000,"303/11 - 15 Brunswick Road,",BRUNSWICK EAST VIC 3057,3 Beds,2 Baths,2 Parking,NG
"$369,950","1/12 Leanna  Court,",CRANBOURNE WEST VIC 3977,2 Beds,1 Bath,1 Parking,234m
"$589,000",FOOTSCRAY VIC 3011,NG,2 Beds,1 Bath,1 Parking,NG
"$867,000",FOOTSCRAY VIC 3011,NG,3 Beds,2 Baths,1 Parking,NG
"$874,000",FOOTSCRAY VIC 3011,NG,3 Beds,2 Baths,1 Parking,NG
"$589,000",FOOTSCRAY VIC 3011,NG,2 Beds,1 Bath,1 Parking,NG
"$580,000",FOOTSCRAY VIC 3011,NG,2 Beds,2 Baths,1 Parking,NG
"$543,000",FOOTSCRAY VIC 3011,NG,2 Beds,2 Baths,1 Parking,NG
"$604,800",MELBOURNE VIC 3000,NG,2 Beds,1 Bath, Parking,NG
"$837,500",MELBOURNE 3004 VIC 3004,NG,2 Beds,2 Baths,1 Parking,NG
"$628,900",MELBOURNE VIC 3000,NG,2 Beds,1 Bath, Parking,NG
"$490,000-$539,000","3504/105 Clarendon Street,",SOUTHBANK VIC 3006,2 Beds,1 Bath, Parking,NG
"EOI 490,000 - $530,000","106/324 Pascoe Vale Road,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,NG
"$918,000","M1112/188 Macaulay Road,",NORTH MELBOURNE VIC 3051,3 Beds,2 Baths,2 Parking,NG
"$375,000-$385,000","1/205 Mason Street,",NEWPORT VIC 3015,2 Beds,1 Bath,1 Parking,NG
