Price,Address1,Address2,Room,Shower,Car,Size
"Auction $590,000 - $640,000","1/7 Browning Court,",WATSONIA NORTH VIC 3087,3 Beds,2 Baths,2 Parking,NG
Contact Agent,"10/130-132 Milton Parade,",GLEN IRIS VIC 3146,3 Beds,1 Bath,2 Parking,NG
"$750,000 - $800,000","2/59 Chesterville Road,",HIGHETT VIC 3190,3 Beds,2 Baths,2 Parking,NG
"$640,000 - $690,000","202/28 Stanley Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,NG
"$420,000 - $440,000","3/1 Athol  Court,",LANGWARRIN VIC 3910,2 Beds,1 Bath,1 Parking,210m
Contact Agent,"12/49 Acland Street,",ST KILDA VIC 3182,3 Beds,1 Bath, Parking,NG
Backing Onto A Park!,"15/19 Nonna Street,",OAKLEIGH EAST VIC 3166,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"110/30 Burnley Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$650,000 - $700,000","1/10 Kokaribb Road,",CARNEGIE VIC 3163,3 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","404/67 Poath Road,",MURRUMBEENA VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$680,000 - $700,000","21/56 Beach Road,",HAMPTON VIC 3188,2 Beds,1 Bath,1 Parking,NG
"$485,000 - $525,000","5/19 Beaumont Parade,",WEST FOOTSCRAY VIC 3012,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"211/2A Montrose Place,",HAWTHORN EAST VIC 3123,2 Beds,1 Bath,1 Parking,NG
"$720,000 - $780,000","13/86 Queens Parade,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,NG
"$675,000-$725,000","LG02/358 Moreland Road,",BRUNSWICK WEST VIC 3055,3 Beds,2 Baths,2 Parking,NG
"$600,000 - $650,000","1/41-43 Alma Road,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
